"Date","Titles","Price","Link"
"2022-09-15","Apple iPhone 13 Pro (512 GB) - Azul Sierra","2299 dólares","https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=BDGBL%2FMX22REYrh1JcUD5nNrtBWFaLrxApXud70uWMfPldH2cP2Hv1oBNvAQbMAtDuHDWgvfUQ3uVHKOcc1vxRLi%2B7dpz6rn0dtHQ8GqmAypUxlXgW%2FuWFtm1roqoQnGgdt958mFWJm4URK0TOkSvMtr1Mh9PVMc%2F5yMLC55IqLITunLfS9%2FT%2BdpYhSftJjE1QdrWmHyjSzaTQQhJ5fQOcav2oBT8B6FhoXlN0GVDe6jtwMzWf0xUmrcyzw9yOqmiVUluswXBsVHhvYVhEllym5xs%2FO%2BKqHf7sAXHTlymrNQBb%2BmGjNIvlXbaCX7XtdlzZwYmPq%2BU5N3cHn%2FpMAytaOYpALpkeI47PfveCq8ODC4%2F0emyG0qPprOyWSQ5QIMs4qDUphZ79Yzx7gxxgJ5FP76Y0Wb2QVSfiRrDZl0Wm09SltPBOy0tTzdPdwYkwhThUySsP4u%2BVoL1Y%2BCg1dPyrCETiRmEvcU5rFp9kFvgoogfSUk%2B%2FiYYQ3ZwxUGE%2FVlBn1GbLcuQW0jBW3lSxA8ywhg3%2FcYALak1t3uWOjDVHo%2FDsegHN2pxuWRbhwPS6CZIqXbsnldUYqA636IoRrWfCjuJjxxNXqKF5v7II%2F5qj6ZWIJndbIloqUgVei4GhRWDKa0wWIE8uVGUp3nWC%2BXE0a43qJuq%2BXYV4D3Xbd6SQs16yFT56Iovc8iR5DzpLaiRfHSt5oezUlWnD3QJlbeKI085Uk%3D&rb=x"
"2022-09-15","Apple iPhone 13 (128 GB) - Azul medianoche","1158 dólares","https://www.mercadolibre.com.uy/apple-iphone-13-128-gb-azul-medianoche/p/MLU18500844?pdp_filters=category:MLU1055#searchVariation=MLU18500844&position=2&search_layout=stack&type=product&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (256 GB) - Azul","1320 dólares","https://www.mercadolibre.com.uy/apple-iphone-13-256-gb-azul/p/MLU18500847?pdp_filters=category:MLU1055#searchVariation=MLU18500847&position=3&search_layout=stack&type=product&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Pro (512 GB) - Azul Sierra","2299 dólares","https://www.mercadolibre.com.uy/apple-iphone-13-pro-512-gb-azul-sierra/p/MLU18494255?pdp_filters=category:MLU1055#searchVariation=MLU18494255&position=4&search_layout=stack&type=product&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Pro Max (512 GB) - Grafito","2344 dólares","https://www.mercadolibre.com.uy/apple-iphone-13-pro-max-512-gb-grafito/p/MLU18494237?pdp_filters=category:MLU1055#searchVariation=MLU18494237&position=5&search_layout=stack&type=product&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 Pro 6.1  Retina 128b 6gb 5g Cámara Cuádruple Nnet","1676 dólares","https://articulo.mercadolibre.com.uy/MLU-615925688-iphone-13-pro-61-retina-128b-6gb-5g-camara-cuadruple-nnet-_JM#position=13&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Celular Apple iPhone 13 128gb 6.1'' Chip A15 - Cover Company","1299 dólares","https://articulo.mercadolibre.com.uy/MLU-602570284-celular-apple-iphone-13-128gb-61-chip-a15-cover-company-_JM?searchVariation=174016066618#searchVariation=174016066618&position=14&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 Pro Max 128 Gb Nuevo Garantía Oficial Amv","1849 dólares","https://articulo.mercadolibre.com.uy/MLU-609437930-apple-iphone-13-pro-max-128-gb-nuevo-garantia-oficial-amv-_JM?searchVariation=174636086957#searchVariation=174636086957&position=15&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","Apple iPhone 13 (128 Gb) - Blanco Estelar","1210 dólares","https://articulo.mercadolibre.com.uy/MLU-606941046-apple-iphone-13-128-gb-blanco-estelar-_JM?searchVariation=174123205410#searchVariation=174123205410&position=16&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
"2022-09-15","iPhone 13 128 Gb Nuevos Declarados + Regalo Dimm","1289 dólares","https://articulo.mercadolibre.com.uy/MLU-602052000-iphone-13-128-gb-nuevos-declarados-regalo-dimm-_JM?searchVariation=174007124694#searchVariation=174007124694&position=17&search_layout=stack&type=item&tracking_id=3ae2ed4d-dd64-4622-872c-d50699f9192f"
